[検索タイプ] : 企業検索,,,,,,,,,,,
[検索条件] : 〔 業種（東証） ： 水産・農林業 OR 鉱　業 OR 建設業 OR 食料品 OR 繊維製品 OR パルプ・紙 OR 化　学 OR 医薬品 OR 石油・石炭製品 OR ゴム製品 OR ガラス・土石製品 OR 鉄　鋼 OR 非鉄金属 OR 金属製品 OR 機　械 OR 電気機器 OR 輸送用機器 OR 精密機器 OR その他製品 OR 電気・ガス業 OR 陸運業 OR 海運業 OR 空運業 OR 倉庫・運輸関連業 OR 情報・通信業 OR 卸売業 OR 小売業 OR 銀行業 OR 証券、商品先物取引業 OR 保険業 OR その他金融業 OR 不動産業 OR サービス業 〕 AND 〔 決算月 ： 3月 〕 AND 〔 連結/非連結 ： 連結 〕 AND 〔 その他表示項目 ： 時価総額（直近終値ベース） 〕,,,,,,,,,,,
[並び順] : 〔 証券コード ： 昇順 〕,,,,,,,,,,,
,,,,,,,,,,,
[No],[証券コード],[EDINETコード],[企業名],[業種（東証）],[上場市場],[決算月],[会計方式],[連結/非連結],[監査法人],[時価総額（直近終値ベース）[百万円]],[ウォッチリスト]
23,1721,E00322,コムシスホールディングス㈱,建設業,東証一部,3月末日,日本基準,連結,仰星監査法人," 447,675 ",--
24,1723,E00313,日本電技㈱,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 31,068 ",--
25,1726,E00312,㈱ビーアールホールディングス,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 23,080 ",--
26,1728,E00309,ミサワホーム中国㈱,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 3,681 ",--
27,1736,E00304,㈱オーテック,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 13,400 ",--
28,1737,E00303,三井金属エンジニアリング㈱,建設業,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 12,792 ",--
29,1738,E05065,㈱ＮＩＴＴＯＨ,建設業,名証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 1,863 ",--
30,1757,E00288,中小企業ホールディングス㈱,建設業,東証二部,3月末日,日本基準,連結,"柴田公認会計士事務所,大瀧公認会計士事務所"," 17,717 ",--
31,1762,E00285,㈱高松コンストラクショングループ,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 80,053 ",--
32,1768,E00279,㈱ソネック,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 7,192 ",--
33,1770,E00277,藤田エンジニアリング㈱,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 12,507 ",--
34,1775,E00273,富士古河Ｅ＆Ｃ㈱,建設業,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 26,086 ",--
35,1776,E00272,三井住建道路㈱,建設業,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 9,240 ",--
36,1780,E00268,㈱ヤマウラ,建設業,東証一部、名証一部,3月末日,日本基準,連結,誠栄監査法人," 19,288 ",--
37,1786,E36102,オリエンタル白石㈱,建設業,東証一部,3月末日,その他,連結,有限責任あずさ監査法人," 35,034 ",--
38,1798,E00251,㈱守谷商会,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,574 ",--
39,1801,E00052,大成建設㈱,建設業,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 848,765 ",--
40,1802,E00055,㈱大林組,建設業,東証一部、福証上場,3月末日,日本基準,連結,EY新日本有限責任監査法人," 668,117 ",--
41,1803,E00053,清水建設㈱,建設業,東証一部、名証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 738,838 ",--
42,1805,E00063,飛島建設㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 20,720 ",--
43,1807,E00167,㈱佐藤渡辺,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 10,018 ",--
44,1808,E00090,㈱長谷工コーポレーション,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 469,239 ",--
45,1810,E00064,松井建設㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 22,445 ",--
46,1811,E00069,㈱錢高組,建設業,東証一部,3月末日,日本基準,連結,東陽監査法人," 32,206 ",--
47,1812,E00058,鹿島建設㈱,建設業,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 786,640 ",--
48,1813,E00097,㈱不動テトラ,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 31,033 ",--
49,1814,E00093,大末建設㈱,建設業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 10,815 ",--
50,1815,E00065,鉄建建設㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 30,006 ",--
51,1820,E00060,西松建設㈱,建設業,東証一部,3月末日,日本基準,連結,仰星監査法人," 189,289 ",--
52,1821,E00085,三井住友建設㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 79,221 ",--
53,1822,E00095,大豊建設㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 75,391 ",--
54,1824,E00051,前田建設工業㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 191,883 ",--
55,1826,E00121,佐田建設㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 7,589 ",--
56,1827,E00105,㈱ナカノフドー建設,建設業,東証一部,3月末日,日本基準,連結,和泉監査法人," 13,937 ",--
57,1828,E00242,田辺工業㈱,建設業,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 9,462 ",--
58,1832,E01855,北海電気工事㈱,建設業,札証上場,3月末日,日本基準,連結,EY新日本有限責任監査法人," 14,305 ",--
59,1833,E00083,㈱奥村組,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 118,837 ",--
60,1835,E00112,東鉄工業㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 86,279 ",--
61,1841,E00101,サンユー建設㈱,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,仰星監査法人," 3,560 ",--
62,1850,E00118,南海辰村建設㈱,建設業,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 8,939 ",--
63,1852,E00120,㈱淺沼組,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 37,161 ",--
64,1860,E00147,戸田建設㈱,建設業,東証一部,3月末日,日本基準,連結,青南監査法人," 254,253 ",--
65,1861,E00056,㈱熊谷組,建設業,東証一部,3月末日,日本基準,連結,仰星監査法人," 136,578 ",--
66,1866,E00175,北野建設㈱,建設業,東証一部,3月末日,日本基準,連結,監査法人Ａ＆Ａパートナーズ," 16,305 ",--
67,1867,E00179,㈱植木組,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 10,337 ",--
68,1869,E00201,名工建設㈱,建設業,名証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 29,495 ",--
69,1870,E00148,矢作建設工業㈱,建設業,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 32,117 ",--
70,1871,E01161,㈱ピーエス三菱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 31,150 ",--
71,1878,E00218,大東建託㈱,建設業,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 827,027 ",--
72,1879,E00221,新日本建設㈱,建設業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 53,751 ",--
73,1881,E00049,㈱ＮＩＰＰＯ,建設業,東証一部、札証上場,3月末日,日本基準,連結,EY新日本有限責任監査法人," 358,802 ",--
74,1882,E00066,東亜道路工業㈱,建設業,東証一部,3月末日,日本基準,連結,仰星監査法人," 23,986 ",--
75,1883,E00061,前田道路㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 197,666 ",--
76,1884,E00067,日本道路㈱,建設業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 77,409 ",--
77,1885,E00080,東亜建設工業㈱,建設業,東証一部、札証上場,3月末日,日本基準,連結,ＥＹ新日本有限責任監査法人," 56,641 ",--
78,1888,E00081,若築建設㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 18,332 ",--
79,1890,E00082,東洋建設㈱,建設業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 53,885 ",--
80,1892,E00079,徳倉建設㈱,建設業,名証二部,3月末日,日本基準,連結,栄監査法人," 7,548 ",--
81,1893,E00086,五洋建設㈱,建設業,東証一部、名証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 231,099 ",--
82,1898,E00176,世紀東急工業㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 35,281 ",--
83,1904,E00233,大成温調㈱,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 13,716 ",--
84,1905,E00232,㈱テノックス,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 6,932 ",--
85,1909,E25282,日本ドライケミカル㈱,機　械,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 13,465 ",--
86,1914,E00204,日本基礎技術㈱,建設業,東証一部,3月末日,日本基準,連結,優成監査法人," 15,855 ",--
87,1921,E01394,㈱巴コーポレーション,建設業,東証一部、札証上場,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,816 ",--
88,1925,E00048,大和ハウス工業㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 2,236,561 ",--
89,1926,E00098,ライト工業㈱,建設業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 106,649 ",--
90,1929,E00142,日特建設㈱,建設業,東証一部,3月末日,日本基準,連結,監査法人保森会計事務所," 32,240 ",--
91,1930,E00207,北陸電気工事㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 30,738 ",--
92,1934,E00137,㈱ユアテック,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 53,446 ",--
93,1938,E00185,日本リーテック㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 44,651 ",--
94,1939,E00181,㈱四電工,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 27,471 ",--
95,1941,E00073,㈱中電工,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 136,392 ",--
96,1942,E00074,㈱関電工,建設業,東証一部,3月末日,日本基準,連結,井上監査法人," 187,428 ",--
97,1944,E00075,㈱きんでん,建設業,東証一部,3月末日,日本基準,連結,ひびき監査法人," 386,075 ",--
98,1945,E00092,㈱東京エネシス,建設業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 36,665 ",--
99,1946,E00076,㈱トーエネック,建設業,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 71,810 ",--
100,1948,E02569,㈱弘電社,建設業,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 9,005 ",--
101,1949,E00114,住友電設㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 83,067 ",--
102,1950,E00115,日本電設工業㈱,建設業,東証一部,3月末日,日本基準,連結,東邦監査法人," 113,720 ",--
103,1951,E00094,㈱協和エクシオ,建設業,東証一部,3月末日,日本基準,連結,清陽監査法人," 322,806 ",--
104,1952,E00227,新日本空調㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 50,725 ",--
105,1959,E00146,㈱九電工,建設業,東証一部、福証上場,3月末日,日本基準,連結,新日本有限責任監査法人," 245,192 ",--
106,1960,E00173,㈱サンテック,建設業,東証二部,3月末日,日本基準,連結,東邦監査法人," 11,985 ",--
107,1961,E00107,三機工業㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 85,733 ",--
108,1963,E01575,日揮ホールディングス㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 278,915 ",--
109,1964,E00119,中外炉工業㈱,建設業,東証一部,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 16,029 ",--
110,1965,E00225,㈱テクノ菱和,建設業,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 20,531 ",--
111,1966,E00209,㈱高田工業所,建設業,東証二部、福証上場,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 5,040 ",--
112,1967,E00138,㈱ヤマト,建設業,東証一部,3月20日,日本基準,連結,有限責任あずさ監査法人," 21,703 ",--
113,1968,E00113,太平電業㈱,建設業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 54,801 ",--
114,1969,E00149,高砂熱学工業㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 132,611 ",--
115,1973,E00210,ＮＥＣネッツエスアイ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 265,642 ",--
116,1975,E00153,㈱朝日工業社,建設業,東証一部,3月末日,日本基準,連結,清陽監査法人," 20,209 ",--
117,1976,E00161,明星工業㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 44,718 ",--
118,1979,E00183,㈱大気社,建設業,東証一部,3月末日,日本基準,連結,監査法人Ａ＆Ａパートナーズ," 118,050 ",--
119,1980,E00194,ダイダン㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 61,016 ",--
120,1982,E00168,日比谷総合設備㈱,建設業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 46,161 ",--
121,1992,E00182,神田通信機㈱,建設業,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 2,586 ",--
122,2001,E00345,㈱ニップン,食料品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 125,251 ",--
123,2002,E00346,㈱日清製粉グループ本社,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 506,451 ",--
124,2003,E00347,日東富士製粉㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 32,283 ",--
125,2004,E00348,昭和産業㈱,食料品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 99,569 ",--
126,2053,E00439,中部飼料㈱,食料品,東証一部、名証一部,3月末日,日本基準,連結,名古屋監査法人," 36,598 ",--
127,2055,E00454,日和産業㈱,食料品,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,915 ",--
128,2058,E00502,㈱ヒガシマル,食料品,福証上場,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,404 ",--
129,2060,E30728,フィード・ワン㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 29,884 ",--
130,2107,E00354,東洋精糖㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 6,492 ",--
131,2108,E00355,日本甜菜製糖㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 25,134 ",--
132,2109,E00356,ＤＭ三井製糖ホールディングス㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 60,514 ",--
133,2112,E00361,塩水港精糖㈱,食料品,東証一部,3月末日,日本基準,連結,監査法人日本橋事務所," 7,910 ",--
134,2114,E00360,フジ日本精糖㈱,食料品,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 16,480 ",--
135,2117,E25648,日新製糖㈱,食料品,東証一部,3月末日,IFRS基準,連結,東陽監査法人," 39,701 ",--
136,2121,E05617,㈱ミクシィ,サービス業,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 217,325 ",--
137,2127,E05629,㈱日本Ｍ＆Ａセンター,サービス業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 892,832 ",--
138,2130,E05153,㈱メンバーズ,サービス業,東証一部,3月末日,IFRS基準,連結,監査法人アヴァンティア," 43,783 ",--
139,2134,E03745,燦キャピタルマネージメント㈱,サービス業,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人アリア," 3,410 ",--
140,2138,E05621,クルーズ㈱,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 28,208 ",--
141,2139,E05668,㈱中広,サービス業,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 2,479 ",--
142,2146,E05698,ＵＴグループ㈱,サービス業,東証一部,3月末日,日本基準,連結,仰星監査法人," 117,739 ",--
143,2148,E05686,アイティメディア㈱,サービス業,東証一部,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 37,020 ",--
144,2151,E05685,㈱タケエイ,サービス業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 36,829 ",--
145,2156,E05701,セーラー広告㈱,サービス業,JASDAQ スタンダード,3月末日,日本基準,連結,えひめ有限責任監査法人," 1,823 ",--
146,2158,E05700,㈱ＦＲＯＮＴＥＯ,サービス業,東証マザーズ,3月末日,日本基準,連結,三優監査法人," 30,503 ",--
147,2162,E05676,ｎｍｓ　ホールディングス㈱,サービス業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 8,320 ",--
148,2173,E05737,㈱博展,サービス業,JASDAQ グロース,3月末日,日本基準,連結,EY新日本有限責任監査法人," 3,819 ",--
149,2175,E05697,㈱エス・エム・エス,サービス業,東証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 269,211 ",--
150,2179,E21514,㈱成学社,サービス業,JASDAQ スタンダード,3月末日,日本基準,連結,仰星監査法人," 4,706 ",--
151,2181,E21261,パーソルホールディングス㈱,サービス業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 520,277 ",--
152,2183,E21706,㈱リニカル,サービス業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 19,495 ",--
153,2196,E24017,㈱エスクリ,サービス業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 7,003 ",--
154,2201,E00369,森永製菓㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 189,664 ",--
155,2207,E00376,名糖産業㈱,食料品,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 26,570 ",--
156,2208,E00380,㈱ブルボン,食料品,東証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 60,995 ",--
157,2209,E00371,井村屋グループ㈱,食料品,東証一部、名証一部,3月末日,日本基準,連結,五十鈴監査法人," 30,294 ",--
158,2220,E00385,亀田製菓㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 99,541 ",--
159,2221,E00386,岩塚製菓㈱,食料品,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任大有監査法人," 23,710 ",--
160,2222,E00387,寿スピリッツ㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 244,303 ",--
161,2224,E00388,㈱コモ,食料品,名証二部、JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 9,445 ",--
162,2229,E25303,カルビー㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 332,547 ",--
163,2264,E00331,森永乳業㈱,食料品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 286,047 ",--
164,2267,E00406,㈱ヤクルト本社,食料品,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 1,039,956 ",--
165,2269,E21902,明治ホールディングス㈱,食料品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 1,027,559 ",--
166,2270,E23202,雪印メグミルク㈱,食料品,東証一部、札証上場,3月末日,日本基準,連結,有限責任監査法人トーマツ," 155,158 ",--
167,2281,E00335,プリマハム㈱,食料品,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 150,512 ",--
168,2282,E00334,日本ハム㈱,食料品,東証一部,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 465,889 ",--
169,2286,E00443,林兼産業㈱,食料品,東証一部,3月末日,日本基準,連結,清稜監査法人," 5,559 ",--
170,2288,E00458,丸大食品㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 45,245 ",--
171,2291,E00341,福留ハム㈱,食料品,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 6,460 ",--
172,2293,E00343,滝沢ハム㈱,食料品,JASDAQ スタンダード,3月末日,日本基準,連結,アーク有限責任監査法人," 6,245 ",--
173,2296,E32069,伊藤ハム米久ホールディングス㈱,食料品,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 209,040 ",--
174,2307,E05291,㈱クロスキャット,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 9,542 ",--
175,2317,E05283,㈱システナ,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 220,480 ",--
176,2321,E05297,㈱ソフトフロントホールディングス,情報・通信業,JASDAQ グロース,3月末日,日本基準,連結,そうせい監査法人," 3,748 ",--
177,2323,E05302,㈱ｆｏｎｆｕｎ,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人アヴァンティア," 1,697 ",--
178,2326,E05303,デジタルアーツ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,三優監査法人," 116,738 ",--
179,2327,E05304,日鉄ソリューションズ㈱,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 311,103 ",--
180,2329,E05307,㈱東北新社,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 32,387 ",--
181,2331,E05309,綜合警備保障㈱,サービス業,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 525,506 ",--
182,2335,E05312,㈱キューブシステム,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 14,935 ",--
183,2340,E04727,㈱極楽湯ホールディングス,サービス業,JASDAQ スタンダード,3月末日,日本基準,連結,ＵＨＹ東京監査法人," 6,163 ",--
184,2342,E05317,㈱トランスジェニック,サービス業,東証マザーズ,3月末日,日本基準,連結,有限責任監査法人トーマツ," 9,483 ",--
185,2344,E05319,平安レイサービス㈱,サービス業,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 12,994 ",--
186,2349,E05322,㈱エヌアイデイ,情報・通信業,JASDAQ スタンダード,3月末日,日本基準,連結,新宿監査法人," 18,694 ",--
187,2351,E05324,㈱ＡＳＪ,情報・通信業,東証マザーズ,3月末日,IFRS基準,連結,赤坂有限責任監査法人," 9,719 ",--
188,2352,E05513,㈱エイジア,情報・通信業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 9,085 ",--
189,2359,E05332,㈱コア,情報・通信業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 21,257 ",--
190,2371,E05350,㈱カカクコム,サービス業,東証一部,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 715,199 ",--
191,2372,E05352,㈱アイロムグループ,サービス業,東証一部,3月末日,日本基準,連結,監査法人アヴァンティア," 25,456 ",--
192,2374,E05354,セントケア・ホールディング㈱,サービス業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 25,515 ",--
193,2376,E00744,㈱サイネックス,サービス業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 4,464 ",--
194,2378,E05361,㈱ルネサンス,サービス業,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 28,690 ",--
195,2393,E05381,㈱日本ケアサプライ,サービス業,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 27,994 ",--
196,2395,E05385,㈱新日本科学,サービス業,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 32,015 ",--
